note_id	noteId	prompt	answer_md
sys-elec-psc-010	1771709095059	Which buses does each AC power system consists of?	- Transfer bus (1)\n- Main bus (1)\n- Galley buses (2)\n- Ground Service Bus (1).
sys-elec-psc-020	1771709095061	What does selecting GRD PWR Switch ON do on the ground with both generators off the bus?	If ground power available:\n- Removes previously connected power from AC transfer buses\n- Connects ground power to AC transfer buses if power quality is correct
sys-elec-psc-021	1771709095062	What does selecting either APU GEN switch to ON do to the AC transfer buses?	If neither AC transfer bus powered by IDG:\n- Connects both AC transfer buses to APU generator\n- Disconnected external power\n- Illuminates opposite SOURCE OFF light until other APU GEN switch moved to ON.\nIf both AC transfer buses powered by IDGs: \n- Powers the related transfer bus from the APU generator\n- Other transfer bus continues to receive power from the IDG
sys-elec-fail-050	1771709095070	What is the order of load shedding during single generator operation?	Sheds incrementally:\n1. Galleys and main bus on transfer bus 2\n2. Galleys and main bus on transfer bus 1\n3. IFE buses.
sys-elec-psc-002	1771709095082	What are the three main divisions of the B737 electrical power system?	- AC power system\n- DC power system\n- Standby power system.
sys-elec-fail-067	1771709095088	Under which two conditions does the cross bus tie relay open?	- At glideslope capture during a flight director or autopilot ILS approach\n- When the BUS TRANSFER switch is positioned to OFF.
sys-elec-psc-065	1771709095097	Under normal conditions, how are DC bus 1, DC bus 2, and the DC standby buses powered? How are they connected to one another?	- TR1 and TR2 each power DC bus 1, DC bus 2, and the DC standby bus.\n- They are connected via the cross bus tie relay
sys-elec-psc-080	1771709095098	What is the chemistry and nominal voltage of the battery? Where is it located?	- 24V nickel-cadmium battery\n- Located in the electronics compartment
sys-elec-fail-083	1771709095101	After loss of both generators, which DC buses does the battery power?	- Battery bus\n- DC standby bus\n- Hot battery bus\n- Switched hot battery bus.
sys-elec-psc-091	1771709095105	What are the components (2) and buses (5) that comprise the Standby Power System	- Static inverter\n- Main battery.\n- AC standby bus\n- DC standby bus\n- Battery bus\n- Hot battery bus\n- Switched hot battery bus.
sys-elec-psc-092	1771709095106	With both AC Transfer Buses powered by their generators and the guards down on the BAT and STANDBY POWER switches, what powers the following buses: AC Standby Bus; DC Standby Bus; Battery Bus; Hot Battery Bus; Switched Hot Battery Bus? 	In the Normal Standby Power System Configuration, what powers the following buses?  AC Standby Bus: AC Transfer Bus #1\n• DC Standby Bus: TR1, TR2, and TR3\n• Battery Bus: TR3\n• Hot Battery Bus: Battery and/or Battery Charger\n• Switched Hot Battery Bus: Battery and/or Battery Charger.
sys-elec-fail-093	1771709095107	With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus; DC Standby Bus; Battery Bus; Hot Battery Bus; Switched Hot Battery Bus? 	• With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus: Battery via static inverter\n• DC Standby Bus: battery\n• Battery Bus: battery\n• Hot Battery Bus: battery\n• Switched Hot Battery Bus: battery?
